cum_ret,short,long,short1,long2,lg-sh,lg2-sh2
-1.725728487197150,76,85,170,350,9,180
-1.7257621187029700,96,105,100,475,9,375
-1.7260477671287200,76,85,50,375,9,325
-1.7274665568043500,96,105,70,500,9,430
-1.727622611332340,96,105,110,500,9,390
-1.7276900146567500,96,105,170,375,9,205
-1.7277490175468900,76,85,140,500,9,360
-1.72846129477032,96,105,130,475,9,345
-1.729299203906270,86,95,160,500,9,340
-1.7302659264353900,96,105,50,425,9,375
-1.7307364192922900,76,85,180,475,9,295
-1.7319022013923600,96,105,160,350,9,190
-1.7319801003091400,76,85,130,500,9,370
-1.7320041592640700,96,105,170,425,9,255
-1.7324357726285300,96,105,120,475,9,355
-1.7327394797937400,96,105,100,425,9,325
-1.733143518739620,86,95,170,500,9,330
-1.7332264104325700,86,95,120,450,9,330
-1.7332690504271300,96,105,160,400,9,240
-1.7333715286446400,76,85,120,500,9,380
-1.733455020906370,76,85,170,475,9,305
-1.7336432245698000,96,105,180,450,9,270
-1.7344753281981500,76,85,100,450,9,350
-1.7348031472921000,76,85,110,500,9,390
-1.735007323576970,96,105,130,450,9,320
-1.7353012681073000,86,95,90,500,9,410
-1.735405047789850,76,85,50,425,9,375
-1.7359886516554000,96,105,50,500,9,450
-1.7363138640331500,86,95,100,500,9,400
-1.737951672224240,86,95,200,450,9,250
-1.7380052015466600,96,105,60,425,9,365
-1.7380658479924700,96,105,170,325,9,155
-1.7383779433627900,76,85,100,475,9,375
-1.7384080734296700,76,85,50,350,9,300
-1.738756202577520,76,85,160,425,9,265
-1.7392144095381200,86,95,170,350,9,180
-1.7394334792359400,96,105,150,475,9,325
-1.739472867498650,76,85,50,500,9,450
-1.740232751621440,96,105,130,400,9,270
-1.7409548592234800,76,85,160,400,9,240
-1.7419249437938000,92,100,200,500,8,300
-1.7425610167886300,96,105,180,425,9,245
-1.7431599031944800,96,105,110,475,9,365
-1.7432632243688300,96,105,50,400,9,350
-1.743509037428170,96,105,170,450,9,280
-1.7435385900147800,76,85,170,425,9,255
-1.7436850227818000,96,105,50,475,9,425
-1.7439313864272200,96,105,90,250,9,160
-1.744324807580290,86,95,180,475,9,295
-1.7444937614289200,96,105,150,400,9,250
-1.7450953230119700,76,85,60,425,9,365
-1.7457016960292400,96,105,50,350,9,300
-1.745748407440320,96,105,60,375,9,315
-1.7459473237579900,76,85,160,475,9,315
-1.7464355790511300,96,105,50,450,9,400
-1.7465098130032100,76,85,50,400,9,350
-1.7465533023052100,96,105,80,250,9,170
-1.7468946401530100,96,105,150,450,9,300
-1.7469529570765800,96,105,200,400,9,200
-1.747139395269480,76,85,70,500,9,430
-1.7472902172440200,86,95,90,475,9,385
-1.7476030262181000,76,85,160,350,9,190
-1.7476786672012300,76,85,70,225,9,155
-1.7478708494381200,76,85,130,475,9,345
-1.7479259064332800,86,95,150,500,9,350
-1.7479772132456000,96,105,90,450,9,360
-1.7480496853028800,96,105,200,425,9,225
-1.7481973101158800,96,105,70,225,9,155
-1.7486057581103500,96,105,60,350,9,290
-1.7487586479680500,76,85,130,450,9,320
-1.748846756860620,96,105,140,400,9,260
-1.7489352256275500,96,105,60,400,9,340
-1.7490140532121700,76,85,90,250,9,160
-1.749023876791170,76,85,50,450,9,400
-1.7492272097439400,76,85,100,425,9,325
-1.7493928452365600,96,105,60,325,9,265
-1.7494896565945200,76,85,170,375,9,205
-1.7496815392422900,96,105,70,475,9,405
-1.7499223455858700,76,85,170,325,9,155
-1.7502560266952700,76,85,150,400,9,250
-1.7506618154112500,96,105,120,400,9,280
-1.7510006241574800,96,105,70,375,9,305
-1.7510211616791700,96,105,80,475,9,395
-1.7511947263603300,86,95,50,375,9,325
-1.75123746273916,76,85,110,475,9,365
-1.7512514820576700,86,95,170,475,9,305
-1.7514203643783800,96,105,120,425,9,305
-1.7516848976648300,76,85,80,250,9,170
-1.7517397345210900,96,105,150,350,9,200
-1.7518408150040800,96,105,90,400,9,310
-1.7524698739599800,96,105,160,325,9,165
-1.75268859169804,86,95,50,425,9,375
-1.752850993380940,96,105,130,225,9,95
-1.7530003341963500,86,95,120,500,9,380
-1.7534429280335300,76,85,120,475,9,355
-1.7534850806800200,76,85,200,400,9,200
-1.7538104055886700,96,105,180,375,9,195
-1.7538599450878200,96,105,130,425,9,295
-1.7540562029114100,96,105,140,450,9,310
-1.754058334624870,96,105,110,450,9,340
-1.7544521759136000,96,105,70,450,9,380
-1.754498696454000,96,105,70,425,9,355
-1.755130080055250,96,105,180,400,9,220
-1.7553010396840500,86,95,140,500,9,360
-1.755484161902370,96,105,130,375,9,245
-1.7556064918322700,96,105,190,400,9,210
-1.7556847371210600,86,95,100,450,9,350
-1.7557747581796700,76,85,130,400,9,270
-1.7561434366553300,76,85,50,475,9,425
-1.7565730388560600,96,105,190,425,9,235
-1.7568834868389500,76,85,180,425,9,245
-1.7570348811477200,76,85,90,400,9,310
-1.7575026666443000,86,95,130,500,9,370
-1.7576685773392300,76,85,160,325,9,165
-1.7576885107886300,76,85,60,400,9,340
-1.7580805883259000,92,100,200,475,8,275
-1.7580997073097900,86,95,160,425,9,265
-1.758156211815680,86,95,170,375,9,205
-1.7582642398286900,76,85,130,225,9,95
-1.7584991806362400,76,85,60,375,9,315
-1.7585926694963200,76,85,190,350,9,160
-1.758620498424980,86,95,170,400,9,230
-1.7589513503403000,96,105,120,225,9,105
-1.759206063855310,76,85,120,225,9,105
-1.7594461535783400,86,95,190,450,9,260
-1.7595045919879800,76,85,180,450,9,270
-1.7598340998219800,76,85,200,425,9,225
-1.7598806255268300,86,95,100,475,9,375
-1.7599512806481100,96,105,160,300,9,140
-1.7599639503708900,86,95,110,500,9,390
-1.760258358872900,76,85,120,400,9,280
-1.7603333065437300,96,105,140,425,9,285
-1.7608146388344900,86,95,130,475,9,345
-1.7608729667223100,76,85,160,300,9,140
-1.760904201290740,96,105,200,300,9,100
-1.7609108717907700,76,85,60,350,9,290
-1.7610899371215000,92,100,190,500,8,310
-1.7612599359618500,76,85,90,450,9,360
-1.7612859180403700,76,85,170,450,9,280
-1.7614250320734800,96,105,150,325,9,175
-1.7618361822805700,76,85,180,375,9,195
